tick,S,K,C,r,T,true_iv,true_delta,true_vega,true_gamma,is_liquid
0,42.472407,57.996073,0.656474,0.043946,1.124792,0.212407,0.146674,10.346178,0.024006,0
1,29.359671,21.745491,10.485423,0.044045,1.312647,0.433229,0.833852,8.387503,0.017111,0
2,21.235070,29.281821,0.387949,0.028494,1.265420,0.222730,0.155472,5.703546,0.044877,0
3,31.004271,28.305956,4.960878,0.037278,0.834659,0.266492,0.733527,9.303908,0.043514,1
4,56.711174,45.235424,13.203310,0.034654,0.509003,0.332428,0.874154,8.368195,0.015377,0
5,67.110558,56.357544,13.090047,0.043697,0.819928,0.168580,0.927165,8.411703,0.013512,0
6,56.452691,46.255466,11.904178,0.057955,0.191072,0.536253,0.844793,5.885298,0.018023,0
7,68.503841,62.559738,8.262792,0.047369,0.236741,0.326061,0.764897,10.245223,0.028283,1
8,27.322294,28.596164,0.643075,0.056373,0.148144,0.253512,0.369702,3.969552,0.141587,1
9,59.751337,54.863543,8.721220,0.041868,0.828095,0.223942,0.755158,17.087194,0.025808,1
10,78.175078,97.139802,10.243810,0.055793,1.415299,0.389160,0.473250,37.018999,0.010998,0
11,75.312454,57.383929,18.635197,0.021809,0.374376,0.280132,0.957243,4.191378,0.007046,0
12,43.320637,38.552955,8.564306,0.034270,1.260233,0.262374,0.754827,15.293929,0.024647,1
13,52.561765,41.978294,17.852809,0.022982,1.223076,0.544755,0.764571,17.881272,0.009714,0
14,66.334686,55.661500,11.400248,0.052618,0.107731,0.432743,0.910847,3.510887,0.017115,0
15,63.740430,79.031074,0.019921,0.034339,0.203663,0.196348,0.010628,0.808504,0.004976,0
16,71.786206,81.571289,2.814465,0.022542,0.563257,0.274393,0.324233,19.371924,0.024323,1
17,39.510999,47.836928,3.252391,0.055489,0.992580,0.338886,0.407330,15.278410,0.029095,0
18,27.175655,32.590984,3.961536,0.042451,1.165099,0.458387,0.492058,11.699989,0.029664,0
19,49.627736,52.898848,2.173333,0.021017,0.698557,0.193157,0.411484,16.138616,0.048563,1
20,21.885751,25.069850,2.303767,0.040343,0.540098,0.513027,0.454636,6.375116,0.048034,1
21,34.957534,34.512456,3.517517,0.029152,1.157772,0.180792,0.631804,14.179288,0.055433,1
22,37.385087,30.388651,11.775778,0.052325,1.401577,0.403362,0.795667,12.550900,0.015884,0
23,72.287635,91.268233,1.555219,0.055702,0.361198,0.365737,0.195097,11.981714,0.017357,0
24,68.446409,90.846449,0.393759,0.024402,0.545205,0.241174,0.076918,7.293005,0.011839,0
25,45.626467,58.064714,3.837062,0.020278,1.305023,0.354299,0.371509,19.705818,0.020473,0
26,45.044660,38.534602,8.737649,0.033505,0.267812,0.527164,0.770799,7.064505,0.024662,0
