tick,S,K,C,r,T,true_iv,true_delta,true_vega,true_gamma,is_liquid
0,42.472407,57.996073,0.936131,0.051906,1.477388,0.193611,0.189367,13.980316,0.027094,0
1,29.359671,21.745491,12.389297,0.052078,1.739043,0.524844,0.818766,10.203063,0.012968,0
2,21.235070,29.281821,0.512477,0.024864,1.673263,0.209095,0.184351,7.316165,0.046373,0
3,31.004271,28.305956,5.591617,0.040236,1.073275,0.274737,0.730373,10.613029,0.037443,1
4,56.711174,45.235424,14.091917,0.035645,0.619682,0.373642,0.839118,10.901253,0.014639,0
5,67.110558,56.357544,13.854167,0.051469,1.052757,0.127870,0.964819,5.343201,0.008813,0
6,56.452691,46.255466,12.726769,0.076422,0.176851,0.679379,0.812586,6.388135,0.016683,0
7,68.503841,62.559738,8.806261,0.057896,0.240461,0.364091,0.750365,10.666498,0.025962,1
8,27.322294,28.596164,0.540812,0.073652,0.117058,0.255268,0.352201,3.470343,0.155576,1
9,59.751337,54.863543,9.583572,0.048270,1.064133,0.210913,0.769476,18.739957,0.023387,1
10,78.175078,97.139802,16.999699,0.072638,1.882023,0.458740,0.574076,42.045237,0.007969,0
11,75.312454,57.383929,18.688821,0.013166,0.432167,0.295198,0.936664,6.152300,0.008502,0
12,43.320637,38.552955,9.631970,0.034973,1.666038,0.268561,0.751039,17.729546,0.021114,1
13,52.561765,41.978294,22.283407,0.015219,1.614284,0.692132,0.765253,20.509992,0.006644,0
14,66.334686,55.661500,11.193305,0.067082,0.060768,0.524114,0.927016,2.267070,0.016176,0
15,63.740430,79.031074,0.004220,0.035093,0.194387,0.169521,0.002996,0.256780,0.001918,0
16,71.786206,81.571289,3.626735,0.014449,0.695251,0.286589,0.354490,22.272738,0.021692,1
17,39.510999,47.836928,5.311953,0.072105,1.293237,0.383329,0.497295,17.924918,0.023162,0
18,27.175655,32.590984,6.382936,0.049289,1.533531,0.562580,0.577697,13.170251,0.020671,0
19,49.627736,52.898848,1.970323,0.011779,0.883705,0.164735,0.394526,17.957470,0.050085,1
20,21.885751,25.069850,3.657870,0.045600,0.662994,0.644540,0.524399,7.095993,0.034668,1
21,34.957534,34.512456,3.444123,0.026016,1.523325,0.146188,0.648353,16.008325,0.058825,1
22,37.385087,30.388651,14.501179,0.066568,1.862910,0.480042,0.797610,14.387550,0.011511,0
23,72.287635,91.268233,2.866743,0.072479,0.413812,0.423605,0.271167,15.408611,0.016822,0
24,68.446409,90.846449,0.555756,0.017704,0.670107,0.236761,0.096343,9.568489,0.012873,0
25,45.626467,58.064714,6.015832,0.010487,1.728425,0.406448,0.440365,23.662656,0.016180,0
26,45.044660,38.534602,9.912669,0.033633,0.283737,0.665746,0.740342,7.777511,0.020292,0
27,39.392176,41.879927,12.304791,0.035454,1.420887,0.683069,0.653125,17.335243,0.011510,1
28,77.746838,68.125480,15.040717,0.031061,1.019635,0.270904,0.768978,23.897441,0.014313,1
29,22.213217,25.027521,1.482743,0.013604,1.030224,0.267188,0.400294,8.712311,0.064145,1
30,74.495953,64.639641,17.137132,0.044262,0.332545,0.691390,0.723147,14.381699,0.011271,0
