tick,S,K,C,r,T,true_iv,true_delta,true_vega,true_gamma,is_liquid
0,100.000000,142.857143,0.000000,0.050000,0.002700,0.250000,0.000000,0.000000,0.000000,0
1,100.000000,142.857143,0.000000,0.050000,0.003090,0.250000,0.000000,0.000000,0.000000,0
2,100.000000,142.857143,0.000000,0.050000,0.003536,0.250000,0.000000,0.000000,0.000000,0
3,100.000000,142.857143,0.000000,0.050000,0.004046,0.250000,0.000000,0.000000,0.000000,0
4,100.000000,142.857143,0.000000,0.050000,0.004630,0.250000,0.000000,0.000000,0.000000,0
5,100.000000,142.857143,0.000000,0.050000,0.005299,0.250000,0.000000,0.000000,0.000000,0
6,100.000000,142.857143,0.000000,0.050000,0.006064,0.250000,0.000000,0.000000,0.000000,0
7,100.000000,142.857143,0.000000,0.050000,0.006939,0.250000,0.000000,0.000000,0.000000,0
8,100.000000,142.857143,0.000000,0.050000,0.007941,0.250000,0.000000,0.000000,0.000000,0
9,100.000000,142.857143,0.000000,0.050000,0.009088,0.250000,0.000000,0.000000,0.000000,0
10,100.000000,142.857143,0.000000,0.050000,0.010399,0.250000,0.000000,0.000000,0.000000,0
11,100.000000,142.857143,0.000000,0.050000,0.011901,0.250000,0.000000,0.000000,0.000000,0
12,100.000000,142.857143,0.000000,0.050000,0.013619,0.250000,0.000000,0.000000,0.000000,0
13,100.000000,142.857143,0.000000,0.050000,0.015585,0.250000,0.000000,0.000000,0.000000,0
14,100.000000,142.857143,0.000000,0.050000,0.017835,0.250000,0.000000,0.000000,0.000000,0
15,100.000000,142.857143,0.000000,0.050000,0.020410,0.250000,0.000000,0.000000,0.000000,0
16,100.000000,142.857143,0.000000,0.050000,0.023356,0.250000,0.000000,0.000000,0.000000,0
17,100.000000,142.857143,0.000000,0.050000,0.026728,0.250000,0.000000,0.000000,0.000000,0
18,100.000000,142.857143,0.000000,0.050000,0.030586,0.250000,0.000000,0.000000,0.000000,0
19,100.000000,142.857143,0.000000,0.050000,0.035002,0.250000,0.000000,0.000000,0.000000,0
20,100.000000,142.857143,0.000000,0.050000,0.040055,0.250000,0.000000,0.000000,0.000000,0
21,100.000000,142.857143,0.000000,0.050000,0.045837,0.250000,0.000000,0.000000,0.000000,0
22,100.000000,142.857143,0.000000,0.050000,0.052455,0.250000,0.000000,0.000000,0.000000,0
23,100.000000,142.857143,0.000000,0.050000,0.060027,0.250000,0.000000,0.000001,0.000000,0
24,100.000000,142.857143,0.000000,0.050000,0.068693,0.250000,0.000000,0.000006,0.000000,0
25,100.000000,142.857143,0.000000,0.050000,0.078610,0.250000,0.000000,0.000042,0.000000,0
26,100.000000,142.857143,0.000002,0.050000,0.089959,0.250000,0.000002,0.000231,0.000001,0
27,100.000000,142.857143,0.000012,0.050000,0.102946,0.250000,0.000007,0.001030,0.000004,0
28,100.000000,142.857143,0.000049,0.050000,0.117808,0.250000,0.000026,0.003831,0.000013,0
29,100.000000,142.857143,0.000177,0.050000,0.134815,0.250000,0.000083,0.012176,0.000036,0
30,100.000000,142.857143,0.000551,0.050000,0.154277,0.250000,0.000229,0.033724,0.000087,0
31,100.000000,142.857143,0.001521,0.050000,0.176550,0.250000,0.000559,0.082820,0.000188,0
32,100.000000,142.857143,0.003776,0.050000,0.202037,0.250000,0.001231,0.183089,0.000362,0
33,100.000000,142.857143,0.008536,0.050000,0.231204,0.250000,0.002471,0.369200,0.000639,0
34,100.000000,142.857143,0.017772,0.050000,0.264582,0.250000,0.004574,0.686985,0.001039,0
35,100.000000,142.857143,0.034426,0.050000,0.302779,0.250000,0.007890,1.191511,0.001574,0
36,100.000000,142.857143,0.062592,0.050000,0.346489,0.250000,0.012793,1.943284,0.002243,0
37,100.000000,142.857143,0.107630,0.050000,0.396510,0.250000,0.019648,3.003293,0.003030,0
38,100.000000,142.857143,0.176212,0.050000,0.453753,0.250000,0.028778,4.427842,0.003903,0
39,100.000000,142.857143,0.276289,0.050000,0.519259,0.250000,0.040432,6.264072,0.004825,0
40,100.000000,142.857143,0.416997,0.050000,0.594222,0.250000,0.054770,8.546773,0.005753,0
41,100.000000,142.857143,0.608528,0.050000,0.680006,0.250000,0.071855,11.296730,0.006645,0
42,100.000000,142.857143,0.861989,0.050000,0.778176,0.250000,0.091658,14.520501,0.007464,0
43,100.000000,142.857143,1.189269,0.050000,0.890517,0.250000,0.114070,18.211305,0.008180,0
44,100.000000,142.857143,1.602927,0.050000,1.019077,0.250000,0.138917,22.350601,0.008773,0
45,100.000000,142.857143,2.116116,0.050000,1.166196,0.250000,0.165982,26.909935,0.009230,0
46,100.000000,142.857143,2.742530,0.050000,1.334554,0.250000,0.195020,31.852714,0.009547,0
47,100.000000,142.857143,3.496389,0.050000,1.527217,0.250000,0.225775,37.135648,0.009726,0
48,100.000000,142.857143,4.392433,0.050000,1.747694,0.250000,0.257993,42.709728,0.009775,0
49,100.000000,142.857143,5.445925,0.050000,2.000000,0.250000,0.291431,48.520656,0.009704,0
50,100.000000,139.742873,0.000000,0.050000,0.002700,0.250000,0.000000,0.000000,0.000000,0
51,100.000000,139.742873,0.000000,0.050000,0.003090,0.250000,0.000000,0.000000,0.000000,0
52,100.000000,139.742873,0.000000,0.050000,0.003536,0.250000,0.000000,0.000000,0.000000,0
53,100.000000,139.742873,0.000000,0.050000,0.004046,0.250000,0.000000,0.000000,0.000000,0
54,100.000000,139.742873,0.000000,0.050000,0.004630,0.250000,0.000000,0.000000,0.000000,0
55,100.000000,139.742873,0.000000,0.050000,0.005299,0.250000,0.000000,0.000000,0.000000,0
56,100.000000,139.742873,0.000000,0.050000,0.006064,0.250000,0.000000,0.000000,0.000000,0
57,100.000000,139.742873,0.000000,0.050000,0.006939,0.250000,0.000000,0.000000,0.000000,0
58,100.000000,139.742873,0.000000,0.050000,0.007941,0.250000,0.000000,0.000000,0.000000,0
59,100.000000,139.742873,0.000000,0.050000,0.009088,0.250000,0.000000,0.000000,0.000000,0
60,100.000000,139.742873,0.000000,0.050000,0.010399,0.250000,0.000000,0.000000,0.000000,0
61,100.000000,139.742873,0.000000,0.050000,0.011901,0.250000,0.000000,0.000000,0.000000,0
62,100.000000,139.742873,0.000000,0.050000,0.013619,0.250000,0.000000,0.000000,0.000000,0
63,100.000000,139.742873,0.000000,0.050000,0.015585,0.250000,0.000000,0.000000,0.000000,0
64,100.000000,139.742873,0.000000,0.050000,0.017835,0.250000,0.000000,0.000000,0.000000,0
65,100.000000,139.742873,0.000000,0.050000,0.020410,0.250000,0.000000,0.000000,0.000000,0
66,100.000000,139.742873,0.000000,0.050000,0.023356,0.250000,0.000000,0.000000,0.000000,0
67,100.000000,139.742873,0.000000,0.050000,0.026728,0.250000,0.000000,0.000000,0.000000,0
68,100.000000,139.742873,0.000000,0.050000,0.030586,0.250000,0.000000,0.000000,0.000000,0
69,100.000000,139.742873,0.000000,0.050000,0.035002,0.250000,0.000000,0.000000,0.000000,0
70,100.000000,139.742873,0.000000,0.050000,0.040055,0.250000,0.000000,0.000000,0.000000,0
71,100.000000,139.742873,0.000000,0.050000,0.045837,0.250000,0.000000,0.000000,0.000000,0
72,100.000000,139.742873,0.000000,0.050000,0.052455,0.250000,0.000000,0.000001,0.000000,0
73,100.000000,139.742873,0.000000,0.050000,0.060027,0.250000,0.000000,0.000005,0.000000,0
74,100.000000,139.742873,0.000000,0.050000,0.068693,0.250000,0.000000,0.000035,0.000000,0
75,100.000000,139.742873,0.000002,0.050000,0.078610,0.250000,0.000001,0.000193,0.000001,0
76,100.000000,139.742873,0.000010,0.050000,0.089959,0.250000,0.000006,0.000871,0.000004,0
77,100.000000,139.742873,0.000042,0.050000,0.102946,0.250000,0.000024,0.003270,0.000013,0
78,100.000000,139.742873,0.000151,0.050000,0.117808,0.250000,0.000076,0.010477,0.000036,0
79,100.000000,139.742873,0.000473,0.050000,0.134815,0.250000,0.000211,0.029224,0.000087,0
80,100.000000,139.742873,0.001315,0.050000,0.154277,0.250000,0.000519,0.072218,0.000187,0
81,100.000000,139.742873,0.003281,0.050000,0.176550,0.250000,0.001148,0.160527,0.000364,0
82,100.000000,139.742873,0.007450,0.050000,0.202037,0.250000,0.002314,0.325272,0.000644,0
83,100.000000,139.742873,0.015573,0.050000,0.231204,0.250000,0.004301,0.607840,0.001052,0
84,100.000000,139.742873,0.030271,0.050000,0.264582,0.250000,0.007444,1.058253,0.001600,0
85,100.000000,139.742873,0.055203,0.050000,0.302779,0.250000,0.012106,1.731805,0.002288,0
86,100.000000,139.742873,0.095171,0.050000,0.346489,0.250000,0.018641,2.684602,0.003099,0
87,100.000000,139.742873,0.156166,0.050000,0.396510,0.250000,0.027362,3.968869,0.004004,0
88,100.000000,139.742873,0.245336,0.050000,0.453753,0.250000,0.038515,5.628829,0.004962,0
89,100.000000,139.742873,0.370903,0.050000,0.519259,0.250000,0.052258,7.697761,0.005930,0
90,100.000000,139.742873,0.542048,0.050000,0.594222,0.250000,0.068653,10.196434,0.006864,0
91,100.000000,139.742873,0.768781,0.050000,0.680006,0.250000,0.087677,13.132878,0.007725,0
92,100.000000,139.742873,1.061819,0.050000,0.778176,0.250000,0.109223,16.503178,0.008483,0
93,100.000000,139.742873,1.432486,0.050000,0.890517,0.250000,0.133125,20.292936,0.009115,0
94,100.000000,139.742873,1.892647,0.050000,1.019077,0.250000,0.159173,24.478990,0.009608,0
95,100.000000,139.742873,2.454668,0.050000,1.166196,0.250000,0.187129,29.031102,0.009958,0
96,100.000000,139.742873,3.131407,0.050000,1.334554,0.250000,0.216747,33.913343,0.010165,0
97,100.000000,139.742873,3.936225,0.050000,1.527217,0.250000,0.247781,39.085072,0.010237,0
98,100.000000,139.742873,4.883008,0.050000,1.747694,0.250000,0.279996,44.501409,0.010185,0
99,100.000000,139.742873,5.986182,0.050000,2.000000,0.250000,0.313176,50.113222,0.010023,0
100,100.000000,136.780194,0.000000,0.050000,0.002700,0.250000,0.000000,0.000000,0.000000,0
101,100.000000,136.780194,0.000000,0.050000,0.003090,0.250000,0.000000,0.000000,0.000000,0
102,100.000000,136.780194,0.000000,0.050000,0.003536,0.250000,0.000000,0.000000,0.000000,0
103,100.000000,136.780194,0.000000,0.050000,0.004046,0.250000,0.000000,0.000000,0.000000,0
104,100.000000,136.780194,0.000000,0.050000,0.004630,0.250000,0.000000,0.000000,0.000000,0
105,100.000000,136.780194,0.000000,0.050000,0.005299,0.250000,0.000000,0.000000,0.000000,0
106,100.000000,136.780194,0.000000,0.050000,0.006064,0.250000,0.000000,0.000000,0.000000,0
107,100.000000,136.780194,0.000000,0.050000,0.006939,0.250000,0.000000,0.000000,0.000000,0
108,100.000000,136.780194,0.000000,0.050000,0.007941,0.250000,0.000000,0.000000,0.000000,0
109,100.000000,136.780194,0.000000,0.050000,0.009088,0.250000,0.000000,0.000000,0.000000,0
110,100.000000,136.780194,0.000000,0.050000,0.010399,0.250000,0.000000,0.000000,0.000000,0
111,100.000000,136.780194,0.000000,0.050000,0.011901,0.250000,0.000000,0.000000,0.000000,0
112,100.000000,136.780194,0.000000,0.050000,0.013619,0.250000,0.000000,0.000000,0.000000,0
113,100.000000,136.780194,0.000000,0.050000,0.015585,0.250000,0.000000,0.000000,0.000000,0
114,100.000000,136.780194,0.000000,0.050000,0.017835,0.250000,0.000000,0.000000,0.000000,0
115,100.000000,136.780194,0.000000,0.050000,0.020410,0.250000,0.000000,0.000000,0.000000,0
116,100.000000,136.780194,0.000000,0.050000,0.023356,0.250000,0.000000,0.000000,0.000000,0
117,100.000000,136.780194,0.000000,0.050000,0.026728,0.250000,0.000000,0.000000,0.000000,0
118,100.000000,136.780194,0.000000,0.050000,0.030586,0.250000,0.000000,0.000000,0.000000,0
119,100.000000,136.780194,0.000000,0.050000,0.035002,0.250000,0.000000,0.000000,0.000000,0
120,100.000000,136.780194,0.000000,0.050000,0.040055,0.250000,0.000000,0.000000,0.000000,0
121,100.000000,136.780194,0.000000,0.050000,0.045837,0.250000,0.000000,0.000000,0.000000,0
122,100.000000,136.780194,0.000000,0.050000,0.052455,0.250000,0.000000,0.000004,0.000000,0
123,100.000000,136.780194,0.000000,0.050000,0.060027,0.250000,0.000000,0.000031,0.000000,0
124,100.000000,136.780194,0.000002,0.050000,0.068693,0.250000,0.000001,0.000171,0.000001,0
125,100.000000,136.780194,0.000009,0.050000,0.078610,0.250000,0.000006,0.000773,0.000004,0
126,100.000000,136.780194,0.000037,0.050000,0.089959,0.250000,0.000023,0.002911,0.000013,0
127,100.000000,136.780194,0.000134,0.050000,0.102946,0.250000,0.000072,0.009353,0.000036,0
128,100.000000,136.780194,0.000422,0.050000,0.117808,0.250000,0.000201,0.026155,0.000089,0
