tick,S,K,C,r,T,true_iv,true_delta,true_vega,true_gamma,is_liquid
0,1.011110,1.000000,0.011435,0.052500,0.005915,0.062627,0.990882,0.001912,5.048333,1
1,1.010442,1.000000,0.010767,0.052500,0.005915,0.059321,0.990542,0.001973,5.506755,1
2,1.009774,1.000000,0.010218,0.052500,0.005915,0.080001,0.948916,0.008147,16.886583,1
3,1.009108,1.000000,0.009597,0.052500,0.005915,0.080809,0.934722,0.009873,20.285027,1
4,1.008442,1.000000,0.008945,0.052500,0.005915,0.077617,0.928307,0.010606,22.718069,1
5,1.007777,1.000000,0.008471,0.052500,0.005915,0.087634,0.884720,0.015070,28.627084,1
6,1.007113,1.000000,0.007747,0.052500,0.005915,0.078555,0.890214,0.014544,30.861237,1
7,1.006450,1.000000,0.007202,0.052500,0.005915,0.080828,0.861565,0.017097,35.304937,1
8,1.005788,1.000000,0.006691,0.052500,0.005915,0.083469,0.829110,0.019640,39.324745,1
9,1.005127,1.000000,0.006036,0.052500,0.005915,0.077946,0.818023,0.020423,43.848208,1
10,1.004466,1.000000,0.005585,0.052500,0.005915,0.081450,0.777610,0.023015,47.349944,1
11,1.003807,1.000000,0.004997,0.052500,0.005915,0.077956,0.754452,0.024298,52.298240,1
12,1.003148,1.000000,0.004475,0.052500,0.005915,0.076556,0.722261,0.025868,56.770367,1
13,1.002490,1.000000,0.004000,0.052500,0.005915,0.076100,0.684738,0.027398,60.568050,1
14,1.001834,1.000000,0.003539,0.052500,0.005915,0.075235,0.645484,0.028671,64.193317,1
15,1.001177,1.000000,0.003098,0.052500,0.005915,0.074171,0.603951,0.029669,67.470340,1
16,1.000522,1.000000,0.002690,0.052500,0.005915,0.073292,0.559829,0.030352,69.942466,1
17,0.999868,1.000000,0.002328,0.052500,0.005915,0.072959,0.513801,0.030659,71.065596,1
18,0.999214,1.000000,0.001961,0.052500,0.005915,0.071423,0.466607,0.030550,72.430593,1
19,0.998562,1.000000,0.001659,0.052500,0.005915,0.071004,0.419185,0.030007,71.655446,1
20,0.997910,1.000000,0.001371,0.052500,0.005915,0.069966,0.371291,0.029010,70.395082,1
21,0.997259,1.000000,0.001115,0.052500,0.005915,0.068941,0.324026,0.027570,67.985157,1
22,0.996609,1.000000,0.000906,0.052500,0.005915,0.068446,0.279716,0.025788,64.134234,1
23,0.995960,1.000000,0.000743,0.052500,0.005915,0.068655,0.240306,0.023828,59.156943,1
24,0.995311,1.000000,0.000586,0.052500,0.005915,0.068053,0.201569,0.021531,53.995829,1
25,0.994664,1.000000,0.000429,0.052500,0.005915,0.066108,0.161382,0.018717,48.384323,1
26,0.994017,1.000000,0.000345,0.052500,0.005915,0.066708,0.134228,0.016533,42.407827,1
27,0.993371,1.000000,0.000247,0.052500,0.005915,0.065322,0.103907,0.013787,36.161573,1
28,0.992726,1.000000,0.000179,0.052500,0.005915,0.064587,0.080046,0.011355,30.161975,1
29,0.992082,1.000000,0.000133,0.052500,0.005915,0.064602,0.062381,0.009370,24.913912,1
30,0.991438,1.000000,0.000097,0.052500,0.005915,0.064544,0.047740,0.007579,20.196331,1
31,0.990796,1.000000,0.000068,0.052500,0.005915,0.064137,0.035210,0.005917,15.888530,1
