symbol,S,K,C,bid,ask,T,r,market_iv,moneyness_SK
SPXW260921C07560000,7643.99,7560.0,86.45,85.5,87.4,0.005914716460944933,0.0525,0.0844512942504883,1.0111097883597884
SPXW260921C07565000,7643.99,7565.0,81.44999999999999,80.3,82.6,0.005914716460944933,0.0525,0.08210146423339845,1.0104415069398545
SPXW260921C07570000,7643.99,7570.0,77.35,76.4,78.3,0.005914716460944933,0.0525,0.08263551651000978,1.0097741083223248
SPXW260921C07575000,7643.99,7575.0,72.7,71.9,73.5,0.005914716460944933,0.0525,0.07987370330810548,1.0091075907590759
SPXW260921C07580000,7643.99,7580.0,67.80000000000001,66.9,68.7,0.005914716460944933,0.0525,0.0769745623779297,1.0084419525065962
SPXW260921C07585000,7643.99,7585.0,64.25,63.9,64.6,0.005914716460944933,0.0525,0.07749335601806642,1.0077771918259724
SPXW260921C07590000,7643.99,7590.0,58.8,58.0,59.6,0.005914716460944933,0.0525,0.07322093780517577,1.0071133069828722
SPXW260921C07595000,7643.99,7595.0,54.7,53.8,55.6,0.005914716460944933,0.0525,0.07344218803405761,1.0064502962475312
SPXW260921C07600000,7643.99,7600.0,50.85,50.1,51.6,0.005914716460944933,0.0525,0.07313701530456543,1.0057881578947367
SPXW260921C07605000,7643.99,7605.0,45.900000000000006,45.1,46.7,0.005914716460944933,0.0525,0.06875778663635257,1.0051268902038133
SPXW260921C07610000,7643.99,7610.0,42.5,41.8,43.2,0.005914716460944933,0.0525,0.0696275289154053,1.004466491458607
SPXW260921C07615000,7643.99,7615.0,38.05,37.7,38.4,0.005914716460944933,0.0525,0.0651491191101074,1.0038069599474722
SPXW260921C07620000,7643.99,7620.0,34.1,34.0,34.2,0.005914716460944933,0.0525,0.06257803886413574,1.0031482939632546
SPXW260921C07625000,7643.99,7625.0,30.5,30.4,30.6,0.005914716460944933,0.0525,0.06165489135742189,1.0024904918032786
SPXW260921C07630000,7643.99,7630.0,27.0,26.9,27.1,0.005914716460944933,0.0525,0.06050667896270753,1.0018335517693315
SPXW260921C07635000,7643.99,7635.0,23.65,23.5,23.8,0.005914716460944933,0.0525,0.0594347597503662,1.001177472167649
SPXW260921C07640000,7643.99,7640.0,20.549999999999997,20.4,20.7,0.005914716460944933,0.0525,0.05838191383361817,1.0005222513089005
SPXW260921C07645000,7643.99,7645.0,17.799999999999997,17.7,17.9,0.005914716460944933,0.0525,0.0576189820098877,0.9998678875081752
SPXW260921C07650000,7643.99,7650.0,15.0,14.9,15.1,0.005914716460944933,0.0525,0.05617704086303711,0.9992143790849672
SPXW260921C07655000,7643.99,7655.0,12.7,12.6,12.8,0.005914716460944933,0.0525,0.05559721267700195,0.9985617243631613
SPXW260921C07660000,7643.99,7660.0,10.5,10.4,10.6,0.005914716460944933,0.0525,0.05459014266967774,0.9979099216710182
SPXW260921C07665000,7643.99,7665.0,8.55,8.5,8.6,0.005914716460944933,0.0525,0.053453374252319344,0.9972589693411611
SPXW260921C07670000,7643.99,7670.0,6.95,6.9,7.0,0.005914716460944933,0.0525,0.05289643402099609,0.9966088657105606
SPXW260921C07675000,7643.99,7675.0,5.699999999999999,5.6,5.8,0.005914716460944933,0.0525,0.05310242561340332,0.9959596091205212
SPXW260921C07680000,7643.99,7680.0,4.5,4.4,4.6,0.005914716460944933,0.0525,0.05254548538208008,0.9953111979166667
SPXW260921C07685000,7643.99,7685.0,3.3,3.2,3.4,0.005914716460944933,0.0525,0.051019621734619144,0.9946636304489265
SPXW260921C07690000,7643.99,7690.0,2.6500000000000004,2.6,2.7,0.005914716460944933,0.0525,0.0511264321899414,0.9940169050715214
SPXW260921C07695000,7643.99,7695.0,1.9,1.85,1.95,0.005914716460944933,0.0525,0.050027810363769534,0.99337102014295
SPXW260921C07700000,7643.99,7700.0,1.375,1.35,1.4,0.005914716460944933,0.0525,0.049249619903564454,0.992725974025974
SPXW260921C07705000,7643.99,7705.0,1.025,1.0,1.05,0.005914716460944933,0.0525,0.04920384399414063,0.9920817650876054
SPXW260921C07710000,7643.99,7710.0,0.75,0.7,0.8,0.005914716460944933,0.0525,0.049447982177734384,0.9914383916990921
SPXW260921C07715000,7643.99,7715.0,0.525,0.5,0.55,0.005914716460944933,0.0525,0.04886815399169922,0.990795852235904
SPXW260922C07410000,7643.99,7410.0,237.60000000000002,227.4,247.8,0.008652567248077035,0.0525,0.2372970558166504,1.0315775978407558
SPXW260922C07420000,7643.99,7420.0,227.7,217.6,237.8,0.008652567248077035,0.0525,0.23011023803710937,1.030187331536388
SPXW260922C07460000,7643.99,7460.0,187.5,181.4,193.6,0.008652567248077035,0.0525,0.17916165084838864,1.0246635388739946
SPXW260922C07475000,7643.99,7475.0,173.39999999999998,166.7,180.1,0.008652567248077035,0.0525,0.17652190673828128,1.0226073578595318
SPXW260922C07480000,7643.99,7480.0,168.05,161.8,174.3,0.008652567248077035,0.0525,0.16881629531860354,1.0219237967914439
SPXW260922C07500000,7643.99,7500.0,149.05,142.4,155.7,0.008652567248077035,0.0525,0.1610954252624512,1.0191986666666666
SPXW260922C07510000,7643.99,7510.0,139.39999999999998,132.7,146.1,0.008652567248077035,0.0525,0.1554039538574219,1.0178415446071905
SPXW260922C07520000,7643.99,7520.0,129.9,123.2,136.6,0.008652567248077035,0.0525,0.14994899131774905,1.0164880319148937
SPXW260922C07525000,7643.99,7525.0,125.25,118.6,131.9,0.008652567248077035,0.0525,0.14733976448059083,1.0158126245847177
SPXW260922C07530000,7643.99,7530.0,120.35,113.7,127.0,0.008652567248077035,0.0525,0.14382264877319334,1.0151381142098272
SPXW260922C07535000,7643.99,7535.0,115.6,109.0,122.2,0.008652567248077035,0.0525,0.14067936965942385,1.014464499004645
SPXW260922C07545000,7643.99,7545.0,106.69999999999999,104.1,109.3,0.008652567248077035,0.0525,0.12056085746765136,1.013119946984758
