tick,S,K,moneyness_SK,moneyness_KS,T,r,true_iv,fpga_iv,abs_err,true_delta,fpga_delta,delta_err,true_vega,fpga_vega,vega_err,true_gamma,fpga_gamma,gamma_err,is_liquid
0,20.3204,14.3980,1.4113,0.7085,0.8635,0.0567,0.346332,0.353165,0.006834,0.916761,0.911181,0.005581,2.892437,3.045240,0.152803,0.023424,0.024223,0.000799,0
1,43.5829,37.9714,1.1478,0.8712,0.4266,0.0393,0.171595,0.179551,0.007956,0.924417,0.915650,0.008767,4.053365,4.420396,0.367031,0.029152,0.030613,0.001462,1
2,79.3445,106.3073,0.7464,1.3398,0.6756,0.0287,0.178516,0.493120,0.314603,0.036856,0.050376,0.013519,5.257115,7.539366,2.282251,0.006924,0.007291,0.000367,0
3,62.5275,72.0716,0.8676,1.1526,0.6859,0.0375,0.390193,0.390284,0.000091,0.421368,0.412873,0.008495,20.255898,20.163678,0.092220,0.019360,0.019269,0.000091,1
4,36.3097,46.1508,0.7868,1.2710,1.3684,0.0513,0.262186,0.262231,0.000045,0.344606,0.346045,0.001439,15.642374,15.666461,0.024088,0.033071,0.033116,0.000045,0
5,32.8910,27.4757,1.1971,0.8354,0.3602,0.0242,0.195351,0.218259,0.022908,0.952273,0.929327,0.022946,1.961721,2.691591,0.729869,0.025767,0.031352,0.005584,0
6,75.2666,58.4703,1.2873,0.7768,1.3343,0.0413,0.246512,0.248812,0.002300,0.889277,0.893536,0.004259,16.424938,15.987659,0.437279,0.008815,0.008498,0.000317,0
7,77.0336,73.0939,1.0539,0.9489,1.3891,0.0300,0.388716,0.388884,0.000168,0.668048,0.675181,0.007133,32.957962,32.669597,0.288366,0.010286,0.010191,0.000095,1
8,70.2988,94.1472,0.7467,1.3392,1.2683,0.0400,0.197121,0.215242,0.018121,0.164425,0.110838,0.053588,19.607800,14.982668,4.625132,0.015871,0.011240,0.004631,0
9,33.3653,26.3358,1.2669,0.7893,1.4394,0.0492,0.329888,0.330157,0.000269,0.835134,0.834254,0.000880,9.931581,9.966533,0.034952,0.018788,0.018836,0.000048,0
10,31.9608,36.7266,0.8702,1.1491,0.8011,0.0235,0.216982,0.216990,0.000008,0.300964,0.301410,0.000447,9.960543,9.967001,0.006459,0.056097,0.056127,0.000029,1
11,74.3876,91.3946,0.8139,1.2286,0.8105,0.0347,0.507299,0.511466,0.004167,0.436117,0.387578,0.048538,26.374224,25.649241,0.724983,0.011592,0.011181,0.000411,0
12,26.9143,22.6549,1.1880,0.8417,1.1484,0.0593,0.261112,0.261463,0.000351,0.841069,0.840376,0.000692,6.986970,7.007555,0.020585,0.032166,0.032214,0.000048,0
13,24.3690,19.3828,1.2573,0.7954,0.9505,0.0475,0.163392,0.190553,0.027161,0.964083,0.935219,0.028864,1.875089,3.039686,1.164597,0.020332,0.027851,0.007519,0
14,52.3960,72.5810,0.7219,1.3852,0.8103,0.0490,0.207338,0.225901,0.018562,0.074952,0.100040,0.025087,6.673331,8.293806,1.620475,0.014468,0.016432,0.001964,0
15,63.6628,80.0729,0.7951,1.2578,0.9551,0.0257,0.158289,0.170171,0.011882,0.106250,0.097427,0.008823,11.410357,10.732915,0.677442,0.018623,0.016176,0.002447,0
16,37.8607,32.7489,1.1561,0.8650,0.2138,0.0267,0.446176,0.446253,0.000077,0.797821,0.797356,0.000465,4.932780,4.939522,0.006742,0.036078,0.036108,0.000030,0
17,76.3213,99.2258,0.7692,1.3001,0.4478,0.0229,0.465354,0.485557,0.020203,0.256513,0.182419,0.074094,16.450430,13.514072,2.936358,0.013553,0.010661,0.002892,0
18,21.5491,27.3146,0.7889,1.2675,0.8281,0.0212,0.384712,0.384738,0.000027,0.325667,0.326945,0.001278,7.063887,7.075049,0.011162,0.047747,0.047802,0.000055,0
19,28.2656,37.1722,0.7604,1.3151,1.2607,0.0557,0.209181,0.209392,0.000211,0.226752,0.229363,0.002611,9.560111,9.621681,0.061570,0.045375,0.045604,0.000229,0
20,77.3724,85.0997,0.9092,1.0999,1.2851,0.0376,0.372907,0.373681,0.000774,0.540043,0.516251,0.023792,34.815081,34.962458,0.147378,0.012136,0.012165,0.000030,1
21,52.2495,37.4665,1.3946,0.7171,0.8317,0.0570,0.228921,0.285301,0.056380,0.972863,0.942834,0.030029,2.982718,5.579178,2.596460,0.005738,0.008932,0.003193,0
22,74.8180,91.6868,0.8160,1.2255,0.1684,0.0570,0.505089,0.527444,0.022355,0.202954,0.144220,0.058734,8.670453,6.973152,1.697301,0.018215,0.013992,0.004222,0
23,20.8496,25.1959,0.8275,1.2085,0.6771,0.0238,0.428536,0.428537,0.000001,0.376422,0.377181,0.000758,6.513330,6.517335,0.004005,0.051638,0.051642,0.000004,0
24,69.0335,75.2717,0.9171,1.0904,1.3814,0.0576,0.375275,0.375548,0.000272,0.581172,0.571457,0.009714,31.697072,31.848586,0.151514,0.012830,0.012887,0.000057,1
25,27.1303,21.3751,1.2693,0.7879,1.1580,0.0360,0.511156,0.511188,0.000032,0.783573,0.782951,0.000622,8.563221,8.577298,0.014077,0.019655,0.019686,0.000031,0
26,47.4758,66.0787,0.7185,1.3918,0.3288,0.0512,0.421944,0.434194,0.012250,0.119787,0.129860,0.010073,5.438540,5.756641,0.318102,0.017394,0.017945,0.000550,0
27,61.9105,47.1027,1.3144,0.7608,0.5243,0.0547,0.535876,0.536143,0.000266,0.834581,0.833358,0.001223,11.145853,11.199742,0.053889,0.010351,0.010395,0.000044,0
28,50.8469,42.9010,1.1852,0.8437,0.1346,0.0461,0.436227,0.439157,0.002930,0.881130,0.879059,0.002070,3.706380,3.754135,0.047755,0.024422,0.024580,0.000159,0
29,54.3718,64.8489,0.8384,1.1927,0.3493,0.0490,0.533056,0.533057,0.000001,0.364142,0.364771,0.000628,12.069937,12.076770,0.006833,0.021924,0.021931,0.000006,0
30,67.0760,84.2971,0.7957,1.2567,0.9432,0.0289,0.176893,0.187774,0.010881,0.138793,0.107933,0.030859,14.414144,12.097251,2.316893,0.019202,0.015236,0.003965,0
31,46.4888,33.1629,1.4018,0.7134,0.6486,0.0535,0.417904,0.421446,0.003542,0.898836,0.895064,0.003772,6.626618,6.814202,0.187584,0.011311,0.011522,0.000211,0
32,55.4228,50.5258,1.0969,0.9116,0.1770,0.0480,0.486558,0.486555,0.000003,0.724337,0.724215,0.000121,7.790272,7.791787,0.001515,0.029443,0.029449,0.000006,1
33,38.8128,36.1960,1.0723,0.9326,0.2768,0.0291,0.502672,0.502665,0.000007,0.665157,0.664998,0.000159,7.437966,7.439225,0.001259,0.035486,0.035429,0.000056,1
34,40.6220,36.6925,1.1071,0.9033,0.2424,0.0306,0.484983,0.484980,0.000004,0.717853,0.717532,0.000322,6.757386,6.760948,0.003562,0.034833,0.034795,0.000038,1
35,73.3366,54.4549,1.3467,0.7425,0.2962,0.0558,0.473728,0.482162,0.008434,0.911110,0.906165,0.004945,6.422344,6.700549,0.278205,0.008509,0.008740,0.000231,0
