tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
0,100.000000,142.857143,0.000000,0.050000,0.002700,0.250000,1.950000,16999.9999,0.000000,1.000000,0.000000,0.600213,0.000000,0.013077,1518
1,100.000000,142.857143,0.000000,0.050000,0.003090,0.250000,1.950000,16999.9999,0.000000,1.000000,0.000000,48.284402,0.000000,0.919172,1518
2,100.000000,142.857143,0.000000,0.050000,0.003536,0.250000,0.923253,6732.5276,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
3,100.000000,142.857143,0.000000,0.050000,0.004046,0.250000,0.450000,1999.9999,0.000000,1.000000,0.000000,2.537631,0.000000,0.313596,1518
4,100.000000,142.857143,0.000000,0.050000,0.004630,0.250000,2.421407,21714.0740,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
5,100.000000,142.857143,0.000000,0.050000,0.005299,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
6,100.000000,142.857143,0.000000,0.050000,0.006064,0.250000,0.947922,6979.2175,0.000000,1.000000,0.000000,-47.645352,0.000000,-1.131753,1518
7,100.000000,142.857143,0.000000,0.050000,0.006939,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
8,100.000000,142.857143,0.000000,0.050000,0.007941,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
9,100.000000,142.857143,0.000000,0.050000,0.009088,0.250000,1.010000,7599.9999,0.000000,1.000000,0.000000,-66.909372,0.000000,-0.113034,1518
10,100.000000,142.857143,0.000000,0.050000,0.010399,0.250000,0.932340,6823.4003,0.000000,1.000000,0.000000,-67.504537,0.000000,-0.384782,1518
11,100.000000,142.857143,0.000000,0.050000,0.011901,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
12,100.000000,142.857143,0.000000,0.050000,0.013619,0.250000,0.950000,6999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
13,100.000000,142.857143,0.000000,0.050000,0.015585,0.250000,1.999173,17491.7299,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
14,100.000000,142.857143,0.000000,0.050000,0.017835,0.250000,0.510000,2599.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
15,100.000000,142.857143,0.000000,0.050000,0.020410,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
16,100.000000,142.857143,0.000000,0.050000,0.023356,0.250000,0.450000,1999.9999,0.000000,1.000000,0.000000,-38.257345,0.000000,-1.102349,1518
17,100.000000,142.857143,0.000000,0.050000,0.026728,0.250000,0.450000,1999.9999,0.000000,1.000000,0.000000,-60.625805,0.000000,-1.587469,1518
18,100.000000,142.857143,0.000000,0.050000,0.030586,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
19,100.000000,142.857143,0.000000,0.050000,0.035002,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
20,100.000000,142.857143,0.000000,0.050000,0.040055,0.250000,0.446888,1968.8773,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
21,100.000000,142.857143,0.000000,0.050000,0.045837,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
22,100.000000,142.857143,0.000000,0.050000,0.052455,0.250000,0.450000,1999.9999,0.000000,1.000000,0.000000,27.020553,0.000000,-1.302250,1518
23,100.000000,142.857143,0.000000,0.050000,0.060027,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000001,0.000000,0.000000,0.000000,1518
24,100.000000,142.857143,0.000000,0.050000,0.068693,0.250000,2.428420,21784.2007,0.000000,1.000000,0.000006,0.000000,0.000000,0.000000,1518
25,100.000000,142.857143,0.000000,0.050000,0.078610,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000042,0.000000,0.000000,0.000000,1518
26,100.000000,142.857143,0.000002,0.050000,0.089959,0.250000,5.000000,47500.0000,0.000002,0.933431,0.000231,4.891395,0.000001,-0.000000,1518
27,100.000000,142.857143,0.000012,0.050000,0.102946,0.250000,5.000000,47500.0000,0.000007,0.938289,0.001030,4.790055,0.000004,-0.000000,1518
28,100.000000,142.857143,0.000049,0.050000,0.117808,0.250000,5.000000,47500.0000,0.000026,0.941266,0.003831,4.832055,0.000013,-0.000000,1518
29,100.000000,142.857143,0.000177,0.050000,0.134815,0.250000,5.000000,47500.0000,0.000083,0.942918,0.012176,4.994093,0.000036,-0.000000,1518
30,100.000000,142.857143,0.000551,0.050000,0.154277,0.250000,5.000000,47500.0000,0.000229,0.943568,0.033724,5.268362,0.000087,-0.000000,1518
31,100.000000,142.857143,0.001521,0.050000,0.176550,0.250000,5.000000,47500.0000,0.000559,0.943344,0.082820,5.663213,0.000188,-0.000000,1518
32,100.000000,142.857143,0.003776,0.050000,0.202037,0.250000,5.000000,47500.0000,0.001231,0.942201,0.183089,6.206861,0.000362,-0.000000,1518
33,100.000000,142.857143,0.008536,0.050000,0.231204,0.250000,5.000000,47500.0000,0.002471,0.939915,0.369200,6.955408,0.000639,-0.000000,1518
34,100.000000,142.857143,0.017772,0.050000,0.264582,0.250000,5.000000,47500.0000,0.004574,0.936049,0.686985,8.006789,0.001039,0.131068,1518
