tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
0,1.011110,1.000000,0.011435,0.052500,0.005915,0.062627,0.138829,762.0211,0.990882,0.660091,0.001912,0.028490,5.048333,0.711736,230
1,1.010442,1.000000,0.010767,0.052500,0.005915,0.059321,0.130784,714.6327,0.990542,0.659776,0.001973,0.028481,5.506755,1.509623,230
2,1.009774,1.000000,0.010218,0.052500,0.005915,0.080001,0.127286,472.8526,0.948916,0.657810,0.008147,0.028525,16.886583,-1.728658,230
3,1.009108,1.000000,0.009597,0.052500,0.005915,0.080809,0.120975,401.6620,0.934722,0.656716,0.009873,0.028540,20.285027,-0.781805,230
4,1.008442,1.000000,0.008945,0.052500,0.005915,0.077617,0.113467,358.4968,0.928307,0.655988,0.010606,0.028544,22.718069,0.345848,230
5,1.007777,1.000000,0.008471,0.052500,0.005915,0.087634,0.112671,250.3732,0.884720,0.652276,0.015070,0.028640,28.627084,1.335195,230
6,1.007113,1.000000,0.007747,0.052500,0.005915,0.078555,0.102379,238.2396,0.890214,0.652461,0.014544,0.028615,30.861237,-1.042255,230
7,1.006450,1.000000,0.007202,0.052500,0.005915,0.080828,0.098794,179.6634,0.861565,0.649325,0.017097,0.028690,35.304937,0.466109,230
8,1.005788,1.000000,0.006691,0.052500,0.005915,0.083469,0.096396,129.2655,0.829110,0.645050,0.019640,0.028796,39.324745,-1.867398,230
9,1.005127,1.000000,0.006036,0.052500,0.005915,0.077946,0.088576,106.3026,0.818023,0.643171,0.020423,0.028831,43.848208,0.588072,230
10,1.004466,1.000000,0.005585,0.052500,0.005915,0.081450,0.088216,67.6619,0.777610,0.636149,0.023015,0.029006,47.349944,-1.238696,230
11,1.003807,1.000000,0.004997,0.052500,0.005915,0.077956,0.082685,47.2858,0.754452,0.631181,0.024298,0.029118,52.298240,-1.944728,230
12,1.003148,1.000000,0.004475,0.052500,0.005915,0.076556,0.079418,28.6171,0.722261,0.623211,0.025868,0.029299,56.770367,1.802472,230
13,1.002490,1.000000,0.004000,0.052500,0.005915,0.076100,0.077580,14.7956,0.684738,0.611915,0.027398,0.029540,60.568050,-1.834512,230
14,1.001834,1.000000,0.003539,0.052500,0.005915,0.075235,0.075848,6.1280,0.645484,0.597218,0.028671,0.029821,64.193317,-0.409951,230
15,1.001177,1.000000,0.003098,0.052500,0.005915,0.074171,0.074370,1.9873,0.603951,0.577465,0.029669,0.030137,67.470340,-1.627081,230
16,1.000522,1.000000,0.002690,0.052500,0.005915,0.073292,0.073322,0.2988,0.559829,0.550451,0.030352,0.030452,69.942466,-1.323126,230
17,0.999868,1.000000,0.002328,0.052500,0.005915,0.072959,0.072946,0.1275,0.513801,0.513343,0.030659,0.030661,71.065596,0.333803,230
18,0.999214,1.000000,0.001961,0.052500,0.005915,0.071423,0.071442,0.1901,0.466607,0.462453,0.030550,0.030522,72.430593,0.833867,230
19,0.998562,1.000000,0.001659,0.052500,0.005915,0.071004,0.071145,1.4076,0.419185,0.393941,0.030007,0.029549,71.655446,0.593215,230
20,0.997910,1.000000,0.001371,0.052500,0.005915,0.069966,0.070595,6.2867,0.371291,0.322273,0.029010,0.027526,70.395082,1.465688,230
21,0.997259,1.000000,0.001115,0.052500,0.005915,0.068941,0.070000,10.5869,0.324026,0.263999,0.027570,0.025073,67.985157,1.246246,230
22,0.996609,1.000000,0.000906,0.052500,0.005915,0.068446,0.070145,16.9943,0.279716,0.211681,0.025788,0.022193,64.134234,-0.446062,230
23,0.995960,1.000000,0.000743,0.052500,0.005915,0.068655,0.071358,27.0261,0.240306,0.166063,0.023828,0.019095,59.156943,1.089598,230
24,0.995311,1.000000,0.000586,0.052500,0.005915,0.068053,0.071977,39.2384,0.201569,0.127452,0.021531,0.015980,53.995829,-1.456176,230
25,0.994664,1.000000,0.000429,0.052500,0.005915,0.066108,0.071621,55.1336,0.161382,0.096080,0.018717,0.013064,48.384323,0.649758,230
26,0.994017,1.000000,0.000345,0.052500,0.005915,0.066708,0.077829,111.2082,0.134228,0.071991,0.016533,0.010566,42.407827,0.156965,230
27,0.993371,1.000000,0.000247,0.052500,0.005915,0.065322,0.087688,223.6639,0.103907,0.055783,0.013787,0.008798,36.161573,-1.853028,230
28,0.992726,1.000000,0.000179,0.052500,0.005915,0.064587,0.109851,452.6353,0.080046,0.048960,0.011355,0.008265,30.161975,0.357561,230
29,0.992082,1.000000,0.000133,0.052500,0.005915,0.064602,0.137929,733.2750,0.062381,0.054712,0.009370,0.009849,24.913912,1.837760,230
30,0.991438,1.000000,0.000097,0.052500,0.005915,0.064544,0.154608,900.6401,0.047740,0.078875,0.007579,0.015094,20.196331,-0.077812,230
31,0.990796,1.000000,0.000068,0.052500,0.005915,0.064137,0.157313,931.7611,0.035210,0.130878,0.005917,0.026538,15.888530,-0.590901,230
32,1.031578,1.000000,0.032065,0.052500,0.008653,0.139691,0.228352,911.4601,0.992535,0.837237,0.001979,0.023612,1.538679,-0.686211,230
33,1.030187,1.000000,0.030687,0.052500,0.008653,0.140014,0.314611,745.8589,0.989962,0.726108,0.002562,0.031911,1.993000,-1.845429,230
34,1.024664,1.000000,0.025134,0.052500,0.008653,0.104259,0.215238,598.7858,0.994826,0.744138,0.001421,0.030660,1.500120,0.053944,230
35,1.022607,1.000000,0.023197,0.052500,0.008653,0.129326,0.198402,463.9268,0.971422,0.752762,0.006216,0.030049,5.312363,1.021880,230
36,1.021924,1.000000,0.022467,0.052500,0.008653,0.117731,0.189396,365.0039,0.978683,0.757561,0.004858,0.029714,4.566501,1.426074,230
37,1.019199,1.000000,0.019873,0.052500,0.008653,0.124149,0.165654,316.7431,0.954661,0.776202,0.009041,0.028347,8.102120,-0.753391,230
38,1.017842,1.000000,0.018562,0.052500,0.008653,0.121917,0.152943,312.1956,0.945764,0.789531,0.010416,0.027323,9.531221,0.401898,230
39,1.016488,1.000000,0.017274,0.052500,0.008653,0.120522,0.211668,300.4101,0.933818,0.660123,0.012157,0.034641,11.282980,0.392399,230
40,1.015813,1.000000,0.016645,0.052500,0.008653,0.120420,0.195006,261.3631,0.926021,0.659328,0.013236,0.034648,12.311140,0.720203,230
41,1.015138,1.000000,0.015983,0.052500,0.008653,0.117571,0.177450,220.5183,0.922318,0.658773,0.013729,0.034647,13.096095,1.090041,230
42,1.014464,1.000000,0.015342,0.052500,0.008653,0.116027,0.162420,189.9388,0.915913,0.658018,0.014566,0.034653,14.097709,1.480896,230
43,1.013120,1.000000,0.014142,0.052500,0.008653,0.117077,0.153577,159.1494,0.893259,0.655635,0.017341,0.034698,16.677712,-1.680854,230
44,1.012449,1.000000,0.013570,0.052500,0.008653,0.118311,0.149985,106.4535,0.879198,0.654053,0.018928,0.034734,18.037800,-1.223933,230
45,1.011779,1.000000,0.012813,0.052500,0.008653,0.109399,0.140619,81.6298,0.885020,0.654279,0.018266,0.034703,18.849734,-0.586276,230
46,1.011110,1.000000,0.012090,0.052500,0.008653,0.102240,0.132281,57.7775,0.887677,0.654208,0.017952,0.034683,19.849412,0.101149,230
47,1.010442,1.000000,0.011487,0.052500,0.008653,0.101509,0.127645,43.8494,0.875529,0.652763,0.019291,0.034713,21.512129,0.760272,230
48,1.009774,1.000000,0.010918,0.052500,0.008653,0.102006,0.124058,31.1923,0.859420,0.650769,0.020965,0.034763,23.295763,1.458005,230
