tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
0,42.472407,57.996073,0.936131,0.051906,1.477388,0.193611,0.194206,1304.7901,0.189367,0.193479,13.980316,14.165590,0.027094,0.027344,230
1,29.359671,21.745491,12.389297,0.052078,1.739043,0.524844,0.525064,1.1833,0.818766,0.817855,10.203063,10.235352,0.012968,0.013004,391
2,21.235070,29.281821,0.512477,0.024864,1.673263,0.209095,0.209971,0.1057,0.184351,0.188457,7.316165,7.416740,0.046373,0.046805,391
3,31.004271,28.305956,5.591617,0.040236,1.073275,0.274737,0.274758,0.9166,0.730373,0.730276,10.613029,10.614708,0.037443,0.037445,391
4,56.711174,45.235424,14.091917,0.035645,0.619682,0.373642,0.373928,0.4246,0.839118,0.838008,10.901253,10.951170,0.014639,0.014685,391
5,67.110558,56.357544,13.854167,0.051469,1.052757,0.127870,0.149721,0.8415,0.964819,0.933412,5.343201,8.988115,0.008813,0.012321,391
6,56.452691,46.255466,12.726769,0.076422,0.176851,0.679379,0.679549,1.5090,0.812586,0.811708,6.388135,6.406658,0.016683,0.016708,391
7,68.503841,62.559738,8.806261,0.057896,0.240461,0.364091,0.364125,0.2859,0.750365,0.754075,10.666498,10.581349,0.025962,0.025753,391
8,27.322294,28.596164,0.540812,0.073652,0.117058,0.255268,0.255264,0.9425,0.352201,0.352301,3.470343,3.470652,0.155576,0.155545,391
9,59.751337,54.863543,9.583572,0.048270,1.064133,0.210913,0.210966,1.2406,0.769476,0.769314,18.739957,18.746965,0.023387,0.023385,391
10,78.175078,97.139802,16.999699,0.072638,1.882023,0.458740,0.462619,7.0695,0.574076,0.526222,42.045237,42.692428,0.007969,0.008023,391
11,75.312454,57.383929,18.688821,0.013166,0.432167,0.295198,0.316010,0.0384,0.936664,0.927593,6.152300,6.871650,0.008502,0.008834,391
12,43.320637,38.552955,9.631970,0.034973,1.666038,0.268561,0.268605,0.2062,0.751039,0.750886,17.729546,17.734964,0.021114,0.021117,552
13,52.561765,41.978294,22.283407,0.015219,1.614284,0.692132,0.692210,0.0354,0.765253,0.764914,20.509992,20.525946,0.006644,0.006649,552
14,66.334686,55.661500,11.193305,0.067082,0.060768,0.524114,0.548338,0.5281,0.927016,0.916078,2.267070,2.529826,0.016176,0.017190,552
15,63.740430,79.031074,0.004220,0.035093,0.194387,0.169521,0.300000,38.7930,0.002996,0.000000,0.256780,0.000000,0.001918,0.000000,552
16,71.786206,81.571289,3.626735,0.014449,0.695251,0.286589,0.288131,0.4399,0.354490,0.317231,22.272738,21.326829,0.021692,0.020689,552
17,39.510999,47.836928,5.311953,0.072105,1.293237,0.383329,0.383440,0.7838,0.497295,0.497898,17.924918,17.925114,0.023162,0.023155,552
18,27.175655,32.590984,6.382936,0.049289,1.533531,0.562580,0.562708,15.4248,0.577697,0.578002,13.170251,13.168140,0.020671,0.020663,552
19,49.627736,52.898848,1.970323,0.011779,0.883705,0.164735,0.164733,1.1078,0.394526,0.394600,17.957470,17.958208,0.050085,0.050086,552
20,21.885751,25.069850,3.657870,0.045600,0.662994,0.644540,0.644658,1.2778,0.524399,0.524632,7.095993,7.095730,0.034668,0.034649,552
21,34.957534,34.512456,3.444123,0.026016,1.523325,0.146188,0.146199,0.0195,0.648353,0.648152,16.008325,16.011402,0.058825,0.058690,552
22,37.385087,30.388651,14.501179,0.066568,1.862910,0.480042,0.480437,3.9540,0.797610,0.797197,14.387550,14.404963,0.011511,0.011508,552
23,72.287635,91.268233,2.866743,0.072479,0.413812,0.423605,0.434262,0.0013,0.271167,0.208090,15.408611,13.329669,0.016822,0.014176,552
24,68.446409,90.846449,0.555756,0.017704,0.670107,0.236761,0.344024,6.2252,0.096343,0.064277,9.568489,7.128340,0.012873,0.009071,552
25,45.626467,58.064714,6.015832,0.010487,1.728425,0.406448,0.406448,0.0350,0.440365,0.441282,23.662656,23.670732,0.016180,0.016183,552
26,45.044660,38.534602,9.912669,0.033633,0.283737,0.665746,0.665744,0.8073,0.740342,0.740039,7.777511,7.782017,0.020292,0.020304,552
27,39.392176,41.879927,12.304791,0.035454,1.420887,0.683069,0.683161,0.2900,0.653125,0.653082,17.335243,17.335776,0.011510,0.011513,552
28,77.746838,68.125480,15.040717,0.031061,1.019635,0.270904,0.271527,1.0256,0.768978,0.788453,23.897441,22.722929,0.014313,0.013584,552
29,22.213217,25.027521,1.482743,0.013604,1.030224,0.267188,0.267184,3.3650,0.400294,0.400532,8.712311,8.713582,0.064145,0.064148,552
30,74.495953,64.639641,17.137132,0.044262,0.332545,0.691390,0.691699,1.6734,0.723147,0.733155,14.381699,14.120301,0.011271,0.011061,552
31,34.523316,40.409365,7.559467,0.026635,1.535158,0.536930,0.537011,0.7194,0.562557,0.562761,16.854487,16.853020,0.017156,0.017152,552
32,42.066988,48.066333,1.718678,0.047504,1.285383,0.154174,0.154203,5.3296,0.372216,0.372751,18.042292,18.050365,0.051448,0.051446,552
33,70.118150,64.827458,10.955407,0.012854,0.413711,0.454536,0.454578,3.7765,0.667388,0.672618,16.384399,16.280358,0.017722,0.017617,552
34,60.653862,43.161984,21.967094,0.025855,1.048581,0.487104,0.487320,19.2259,0.837894,0.836178,15.241529,15.347392,0.008111,0.008164,552
35,30.461986,36.056525,0.804034,0.075571,0.804134,0.182513,0.182556,1.4069,0.281947,0.282914,9.226165,9.241173,0.067746,0.067821,552
36,40.463981,31.538900,13.622329,0.071414,1.853153,0.254765,0.257834,0.6743,0.898582,0.895319,9.766913,10.007575,0.012635,0.012784,552
37,59.599043,75.813293,2.354278,0.047076,1.132642,0.245111,0.245485,723.9799,0.278390,0.262634,21.291809,20.680413,0.021591,0.020946,230
38,25.586166,33.979734,2.401377,0.054317,1.805815,0.303418,0.303521,5.9512,0.400755,0.402868,13.290107,13.308052,0.037051,0.037057,713
39,40.952574,49.477630,11.307047,0.072096,1.799365,0.567925,0.568262,2.1963,0.619042,0.619408,20.932420,20.926062,0.012214,0.012203,713
40,58.521899,44.412150,16.278117,0.072899,0.365176,0.463857,0.466810,8.7631,0.888645,0.886019,6.708403,6.826923,0.011564,0.011697,713
