tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
0,42.472407,57.996073,0.656474,0.043946,1.124792,0.212407,0.214806,0.0599,0.146674,0.152297,10.346178,10.610773,0.024006,0.024373,392
1,29.359671,21.745491,10.485423,0.044045,1.312647,0.433229,0.433441,0.9654,0.833852,0.832600,8.387503,8.428744,0.017111,0.017184,391
2,21.235070,29.281821,0.387949,0.028494,1.265420,0.222730,0.224861,1.3781,0.155472,0.160792,5.703546,5.831424,0.044877,0.045487,391
3,31.004271,28.305956,4.960878,0.037278,0.834659,0.266492,0.266500,1.5446,0.733527,0.733421,9.303908,9.305583,0.043514,0.043519,391
4,56.711174,45.235424,13.203310,0.034654,0.509003,0.332428,0.333726,0.1327,0.874154,0.872398,8.368195,8.453223,0.015377,0.015476,391
5,67.110558,56.357544,13.090047,0.043697,0.819928,0.168580,0.176114,1.0555,0.927165,0.916929,8.411703,9.331328,0.013512,0.014311,391
6,56.452691,46.255466,11.904178,0.057955,0.191072,0.536253,0.536868,1.1249,0.844793,0.843491,5.885298,5.918473,0.018023,0.018071,392
7,68.503841,62.559738,8.262792,0.047369,0.236741,0.326061,0.326108,0.0253,0.764897,0.768930,10.245223,10.147063,0.028283,0.028009,391
8,27.322294,28.596164,0.643075,0.056373,0.148144,0.253512,0.253509,0.0794,0.369702,0.369762,3.969552,3.969712,0.141587,0.141582,552
9,59.751337,54.863543,8.721220,0.041868,0.828095,0.223942,0.223961,0.0290,0.755158,0.755027,17.087194,17.091717,0.025808,0.025809,552
10,78.175078,97.139802,10.243810,0.055793,1.415299,0.389160,0.394594,0.1894,0.473250,0.409742,37.018999,36.148474,0.010998,0.010591,553
11,75.312454,57.383929,18.635197,0.021809,0.374376,0.280132,0.327870,0.2347,0.957243,0.938910,4.191378,5.652148,0.007046,0.008383,554
12,43.320637,38.552955,8.564306,0.034270,1.260233,0.262374,0.262397,0.0630,0.754827,0.754654,15.293929,15.299378,0.024647,0.024652,554
13,52.561765,41.978294,17.852809,0.022982,1.223076,0.544755,0.544761,0.2071,0.764571,0.764060,17.881272,17.902293,0.009714,0.009722,552
14,66.334686,55.661500,11.400248,0.052618,0.107731,0.432743,0.443441,0.1081,0.910847,0.905725,3.510887,3.667401,0.017115,0.017534,552
15,63.740430,79.031074,0.019921,0.034339,0.203663,0.196348,0.301173,0.0243,0.010628,0.173213,0.808504,7.367120,0.004976,0.018225,552
16,71.786206,81.571289,2.814465,0.022542,0.563257,0.274393,0.276342,0.0482,0.324233,0.283617,19.371924,18.248032,0.024323,0.022747,552
17,39.510999,47.836928,3.252391,0.055489,0.992580,0.338886,0.338907,0.0257,0.407330,0.408071,15.278410,15.285086,0.029095,0.029101,552
18,27.175655,32.590984,3.961536,0.042451,1.165099,0.458387,0.458398,4.4348,0.492058,0.492485,11.699989,11.700246,0.029664,0.029664,552
19,49.627736,52.898848,2.173333,0.021017,0.698557,0.193157,0.193155,0.0115,0.411484,0.411554,16.138616,16.139127,0.048563,0.048565,553
20,21.885751,25.069850,2.303767,0.040343,0.540098,0.513027,0.513022,0.0868,0.454636,0.454873,6.375116,6.375527,0.048034,0.048038,553
21,34.957534,34.512456,3.517517,0.029152,1.157772,0.180792,0.180798,0.5806,0.631804,0.631730,14.179288,14.180041,0.055433,0.055378,553
22,37.385087,30.388651,11.775778,0.052325,1.401577,0.403362,0.403486,0.0194,0.795667,0.795176,12.550900,12.568713,0.015884,0.015902,552
23,72.287635,91.268233,1.555219,0.055702,0.361198,0.365737,0.383152,1.1658,0.195097,0.138689,11.981714,9.610716,0.017357,0.013304,553
24,68.446409,90.846449,0.393759,0.024402,0.545205,0.241174,0.410301,1.7651,0.076918,0.057197,7.293005,5.919550,0.011839,0.008768,552
25,45.626467,58.064714,3.837062,0.020278,1.305023,0.354299,0.354307,4.9351,0.371509,0.372618,19.705818,19.724435,0.020473,0.020491,553
26,45.044660,38.534602,8.737649,0.033505,0.267812,0.527164,0.527180,0.1201,0.770799,0.770421,7.064505,7.070899,0.024662,0.024682,552
27,39.392176,41.879927,8.339428,0.034545,1.084227,0.538713,0.538810,1.0408,0.594086,0.594073,15.906433,15.906425,0.017550,0.017551,552
28,77.746838,68.125480,13.873314,0.032035,0.796148,0.263936,0.264754,8.6120,0.784361,0.805713,20.304549,19.083712,0.015986,0.014974,552
29,22.213217,25.027521,1.196652,0.022059,0.803751,0.261459,0.261456,1315.9901,0.375977,0.376304,7.557708,7.559669,0.072886,0.072877,230
30,74.495953,64.639641,14.602526,0.039578,0.302853,0.544260,0.544703,23.9896,0.746526,0.759161,13.123077,12.768727,0.014346,0.013948,713
31,34.523316,40.409365,4.892858,0.029506,1.166267,0.441287,0.441286,2.1210,0.492082,0.492373,14.870860,14.871087,0.024243,0.024244,713
32,42.066988,48.066333,1.607999,0.041431,0.986942,0.186116,0.186125,21.3055,0.341840,0.342788,15.344340,15.360191,0.047205,0.047137,713
33,70.118150,64.827458,9.531613,0.021631,0.361126,0.386357,0.386415,0.4680,0.687095,0.693469,14.925720,14.792041,0.021758,0.021561,714
34,60.653862,43.161984,20.080623,0.029060,0.816930,0.408069,0.409426,54.3413,0.879245,0.876632,11.015095,11.188212,0.008982,0.009090,713
35,30.461986,36.056525,0.638177,0.057469,0.641429,0.205008,0.205093,19.4933,0.235669,0.236628,7.508932,7.525598,0.061538,0.061629,713
36,40.463981,31.538900,11.971014,0.055094,1.394571,0.253177,0.255193,1.2419,0.892500,0.889632,8.837887,9.016032,0.015288,0.015449,713
37,59.599043,75.813293,1.568743,0.041186,0.877281,0.246741,0.247522,0.0817,0.220847,0.205708,16.565124,15.892946,0.021544,0.020614,713
38,25.586166,33.979734,1.428731,0.045324,1.360585,0.285612,0.285671,0.1631,0.308563,0.310644,10.507681,10.538347,0.041304,0.041415,713
39,40.952574,49.477630,6.937944,0.055483,1.355954,0.461950,0.462088,8.1788,0.522834,0.523470,18.993353,18.991578,0.018080,0.018056,713
40,58.521899,44.412150,15.413886,0.055942,0.326280,0.392572,0.404876,0.8509,0.922754,0.914807,4.839461,5.229011,0.011032,0.011546,713
41,20.551823,15.846074,5.210911,0.020202,1.028902,0.214323,0.220229,20.1623,0.919304,0.912035,3.119565,3.338344,0.033493,0.034816,713
42,52.924027,62.679335,6.373144,0.028971,1.012746,0.434872,0.434870,7.8076,0.459892,0.460277,21.140289,21.142288,0.017137,0.017139,713
43,34.234945,31.762490,8.894272,0.045985,1.145088,0.489689,0.489806,0.5864,0.693412,0.693375,12.861785,12.862231,0.019571,0.019567,713
44,59.456774,65.272599,1.103598,0.034709,0.231145,0.256081,0.256103,59.0597,0.263930,0.264157,9.343679,9.347569,0.044653,0.044666,713
45,34.639379,47.840702,1.332767,0.055682,0.650337,0.402455,0.402932,0.2222,0.235452,0.238495,8.593396,8.654079,0.027363,0.027523,713
46,67.688678,71.198063,5.417910,0.039701,0.907665,0.228097,0.228251,4.7675,0.516702,0.508866,25.704442,25.720658,0.027098,0.027097,714
47,63.347127,56.793275,7.068620,0.045819,0.134042,0.220844,0.233754,25.5550,0.928825,0.917584,3.154111,3.540660,0.026552,0.028348,715
48,76.427515,104.533734,0.530392,0.034806,1.380810,0.156183,0.268050,251.3089,0.088069,0.060342,14.350439,10.919600,0.011392,0.006932,714
49,75.699114,75.678592,20.170951,0.058545,1.453317,0.491204,0.491381,372.5801,0.670112,0.670147,33.044458,33.042522,0.008078,0.008074,230
50,37.666934,36.520669,5.061153,0.032677,1.291591,0.217797,0.217810,1269.7601,0.662438,0.662295,15.641823,15.644127,0.039191,0.039120,230
51,53.408076,72.384411,0.519408,0.042802,1.074442,0.188871,0.194758,12.9805,0.111202,0.122503,10.491088,11.242820,0.018124,0.018809,874
52,56.900434,79.264449,1.074745,0.040733,0.296118,0.500949,0.511571,75.3396,0.150224,0.142463,7.226569,6.975309,0.015047,0.014192,874
53,64.446117,76.556253,3.868235,0.034380,1.083478,0.267437,0.267931,6.1539,0.364830,0.342672,25.210664,24.652488,0.020948,0.020439,874
54,68.561669,86.873077,6.898396,0.056530,1.313901,0.354537,0.357092,13.5674,0.422101,0.377228,30.752933,29.855569,0.014044,0.013536,874
55,50.090978,63.054855,5.996392,0.048079,1.009950,0.468317,0.468329,129.0962,0.440165,0.441057,19.856267,19.862888,0.016732,0.016735,874
56,73.400321,68.746491,11.590207,0.023759,0.625816,0.381312,0.381416,58.8736,0.661758,0.670427,21.233616,21.017220,0.016516,0.016343,874
57,22.156536,22.730803,3.163308,0.031462,0.859702,0.386333,0.386439,106.2211,0.572671,0.572673,8.059346,8.059284,0.049429,0.049416,874
58,21.830015,15.851729,6.737583,0.034408,1.251641,0.200824,0.225955,0.0466,0.958035,0.935260,2.188066,3.123349,0.018267,0.023018,391
59,51.334596,63.603332,0.126625,0.044916,0.402149,0.184139,0.212859,0.2514,0.052387,0.083157,3.484412,5.002625,0.017856,0.022362,393
60,23.100903,24.762973,3.442108,0.045497,0.856889,0.440437,0.440549,0.1496,0.551346,0.551360,8.460270,8.460199,0.042007,0.042004,391
61,78.551125,83.374968,4.943488,0.051807,0.552139,0.258333,0.259194,0.0167,0.473895,0.441762,23.235691,23.036897,0.026401,0.026090,552
62,46.338285,34.981674,11.790385,0.058506,0.135491,0.484392,0.545090,0.3813,0.956405,0.933368,1.575944,2.227506,0.011183,0.013974,552
63,61.758452,60.910327,4.302829,0.026257,0.342612,0.250097,0.250094,106.9821,0.590608,0.590582,14.047839,14.047932,0.042984,0.042975,1035
